timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
947227084,947227084,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947267235,947267235,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947327497,947327497,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947367600,947367600,18,42,0,0,0,1514,1405,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947427273,947427273,18,42,0,0,0,1514,1404,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947487692,947487692,18,42,0,0,0,1514,1407,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947527694,947527694,18,42,0,0,0,1514,1404,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947587524,947587524,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947627566,947627566,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947688010,947688010,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947747764,947747764,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947787803,947787803,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947847990,947847990,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947867740,947867740,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
947947740,947947740,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948008142,948008142,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948048283,948048283,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948108025,948108025,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948148010,948148010,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948208380,948208380,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948268287,948268287,18,42,0,0,0,1514,1396,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948308286,948308286,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948368634,948368634,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948408626,948408626,18,42,0,0,0,1514,1395,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948468419,948468419,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948528833,948528833,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948568815,948568815,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948628531,948628531,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948688815,948688815,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948708524,948708524,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948788624,948788624,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948828643,948828643,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948889013,948889013,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
