timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
948626074,15800481,30.6571691,-84.20851950000001,250.44637,907.5822,-78.027885,0.0013574644,-0.0026631723,0.0,0.115339376,3.4523513,0.043622054,0.020564489,0.01501895,-0.009971928,0.07579388,0.9883847,2.107423,-2.154019,1.502949,64.34459,74.77282,-0.043622054,0.1943743,0.61105824,0.11934954,0.1286667,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
948729273,15800481,30.6571691,-84.20851950000001,250.45609,907.9382,-78.02449,0.0013574644,-0.0026631723,0.0,0.08183078,3.44594,0.0345733,0.012807813,0.01501895,-0.009971928,0.07579388,-0.5936458,-0.3755975,2.106173,1.5032881,64.34459,74.769424,-0.0345733,0.19474357,0.6111875,0.11949897,0.12874658,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
948833268,15800481,30.6571691,-84.20851950000001,250.46364,908.2966,-78.021835,0.0013574644,-0.0026631723,0.0,0.06813324,3.4247756,0.049981035,0.029429667,0.01501895,-0.009971928,0.07579388,-1.9397966,-2.580242,2.5766315,1.5043993,64.34459,74.76677,-0.049981035,0.19514123,0.6113228,0.11972853,0.12882963,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
948937276,15800481,30.6571691,-84.20851950000001,250.4712,908.6542,-78.020294,0.0013574644,-0.0026631723,0.0,0.0903225,3.4226367,0.043522622,0.022957578,0.01501895,-0.009971928,0.07579388,-0.55433506,2.4411736,-0.02388802,1.5079043,64.34459,74.76523,-0.043522622,0.19544701,0.6113945,0.11988346,0.1289053,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949032474,15800481,30.6571691,-84.20851950000001,250.48042,908.98193,-78.02206,0.0013574644,-0.0026631723,0.0,0.12370717,3.4273486,-0.018863343,-0.04047871,0.01501895,-0.009971928,0.07579388,1.3348207,2.9421146,-1.7160642,1.5112978,64.34459,74.76699,0.018863343,0.19508292,0.61094075,0.11976597,0.12880537,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949136468,15800481,30.6571691,-84.20851950000001,250.49344,909.34076,-78.02701,0.0013574644,-0.0026631723,0.0,0.13401397,3.4259624,-0.005576761,-0.0293543,0.01501895,-0.009971928,0.07579388,-0.93635225,-1.3468052,1.2063792,1.5142576,64.34459,74.77194,0.005576761,0.1954588,0.61107665,0.11991787,0.12888496,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949240468,15800481,30.6571691,-84.20851950000001,250.50719,909.7008,-78.03197,0.0013574644,-0.0026631723,0.0,0.13539806,3.461054,-0.038687382,-0.062960684,0.01501895,-0.009971928,0.07579388,1.3673284,-1.931537,-4.1395917,1.5152988,64.34459,74.7769,0.038687382,0.19567433,0.61229336,0.12002876,0.12902907,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949336519,15800481,30.6571691,-84.20851950000001,250.51888,910.0351,-78.032524,0.0013574644,-0.0026631723,0.0,0.11322809,3.4673102,0.02195421,-0.00048645213,0.01501895,-0.009971928,0.07579388,-1.7083081,-2.2240698,-0.30170512,1.5164227,64.34459,74.77746,-0.02195421,0.1952905,0.6118361,0.119813085,0.12892681,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949443678,15800481,30.6571691,-84.20851950000001,250.52979,910.41113,-78.03145,0.0013574644,-0.0026631723,0.0,0.09026817,3.50144,0.026318692,0.0059214756,0.01501895,-0.009971928,0.07579388,0.073103316,-3.2864563,1.9478414,1.5169513,64.34459,74.77638,-0.026318692,0.19564772,0.61197525,0.11994375,0.12900467,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949539674,15800481,30.6571691,-84.20851950000001,250.53752,910.7513,-78.03007,0.0013574644,-0.0026631723,0.0,0.08299092,3.5294054,0.01628349,-0.002026475,0.01501895,-0.009971928,0.07579388,0.86241305,4.180204,-0.689513,1.5167009,64.34459,74.775,-0.01628349,0.19526137,0.6115201,0.11976069,0.12890293,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
