timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1121202012,-0.05124914,-0.22717638,-1.934778,1.7891916e-24,0.56121826,-0.10774309,-0.04333496,-0.81948006,0.0,0.0,-0.38922104,1,0,0,0,0,0
1121302189,-0.058562577,-0.22088896,-1.934778,5.8558767e-25,0.5610952,-0.10722919,-0.03855763,-0.81987035,0.0,0.0,-0.37919915,1,0,0,0,0,0
1121402417,-0.031855885,-0.20438458,-1.934778,1.9112449e-25,0.56308144,-0.092979595,-0.04483473,-0.8199292,0.0,0.0,-0.38194296,1,0,0,0,0,0
1121522343,-0.039482553,-0.24997003,-1.934778,5.0144446e-26,0.56088907,-0.11373989,-0.054597378,-0.8182212,0.0,0.0,-0.3864766,1,0,0,0,0,0
1121622510,-0.02716382,-0.21648008,-1.934778,1.6408541e-26,0.5628704,-0.09660518,-0.0501778,-0.81934524,0.0,0.0,-0.36387795,1,0,0,0,0,0
1121722649,-0.058542747,-0.21916981,-1.934778,5.373187e-27,0.5611704,-0.106521994,-0.038078878,-0.8199334,0.0,0.0,-0.31857505,1,0,0,0,0,0
1121822700,-0.07932423,-0.27444208,-1.934778,1.759453e-27,0.55720913,-0.13483483,-0.045218486,-0.81810313,0.0,0.0,-0.28318608,1,0,0,0,0,0
1121922803,-0.091009416,-0.28917846,-1.934778,5.757306e-28,0.555552,-0.14406201,-0.044612013,-0.8176906,0.0,0.0,-0.2682207,1,0,0,0,0,0
1122023466,-0.08003884,-0.26467803,-1.934778,1.8801452e-28,0.5576922,-0.13106856,-0.042161588,-0.8185492,0.0,0.0,-0.2670383,1,0,0,0,0,0
1122123525,-0.0703927,-0.32618853,-1.934778,6.125885e-29,0.5548696,-0.15331866,-0.06349084,-0.815219,0.0,0.0,-0.29837477,1,0,0,0,0,0
1122223573,-0.07071022,-0.26459843,-1.934778,2.0028067e-29,0.5583016,-0.12843353,-0.045956563,-0.8183473,0.0,0.0,-0.28895503,1,0,0,0,0,0
1122324071,-0.0747744,-0.305748,-1.934778,6.5252786e-30,0.5557548,-0.14626326,-0.05593192,-0.8164652,0.0,0.0,-0.33147842,1,0,0,0,0,0
1122423400,-0.062946565,-0.2224153,-1.934778,2.1576372e-30,0.56079125,-0.10908156,-0.03719278,-0.81989694,0.0,0.0,-0.36757514,1,0,0,0,0,0
1122523573,-0.034545302,-0.23830788,-1.934778,7.046839e-31,0.5616533,-0.107596986,-0.05332325,-0.8186117,0.0,0.0,-0.37842315,1,0,0,0,0,0
1122623462,-0.0673286,-0.2317592,-1.934778,2.3126737e-31,0.5601221,-0.114119865,-0.03804349,-0.81962955,0.0,0.0,-0.35834733,1,0,0,0,0,0
1122723708,-0.0702954,-0.23462012,-1.934778,7.561341e-32,0.5598167,-0.116116434,-0.037638135,-0.81957644,0.0,0.0,-0.33864054,1,0,0,0,0,0
1122823615,-0.05116889,-0.24201065,-1.934778,2.476921e-32,0.56057507,-0.11377132,-0.047564697,-0.8188707,0.0,0.0,-0.3460183,1,0,0,0,0,0
1122943815,-0.0717197,-0.22843957,-1.934778,6.4820006e-33,0.5600269,-0.113996476,-0.0353032,-0.8198344,0.0,0.0,-0.3277227,1,0,0,0,0,0
1123043917,-0.0845335,-0.33424798,-1.934778,2.1195908e-33,0.5532579,-0.16049214,-0.060001977,-0.81519794,0.0,0.0,-0.29665253,1,0,0,0,0,0
1123144069,-0.064468555,-0.22600365,-1.934778,6.944603e-34,0.56054693,-0.110971935,-0.037585344,-0.81979245,0.0,0.0,-0.35075793,1,0,0,0,0,0
1123244554,-0.048729848,-0.22386318,-1.934778,2.2611649e-34,0.5614923,-0.10568365,-0.043429643,-0.8195554,0.0,0.0,-0.3573673,1,0,0,0,0,0
1123344281,-0.07473049,-0.24939042,-1.934778,7.431156e-35,0.5588268,-0.123370975,-0.04000517,-0.8190799,0.0,0.0,-0.34525028,1,0,0,0,0,0
1123444504,-0.06579089,-0.24937178,-1.934778,2.429195e-35,0.5593736,-0.12086432,-0.043660603,-0.81889355,0.0,0.0,-0.3477997,1,0,0,0,0,0
1123544889,-0.06745263,-0.2769884,-1.934778,7.91282e-36,0.5578654,-0.13255943,-0.050793815,-0.8177005,0.0,0.0,-0.3306893,1,0,0,0,0,0
1123644584,-0.079602875,-0.32327285,-1.934778,2.602799e-36,0.5543384,-0.15469392,-0.05891257,-0.8156642,0.0,0.0,-0.28463867,1,0,0,0,0,0
1123746153,-0.07581144,-0.28119674,-1.934778,8.359737e-37,0.5570755,-0.13659804,-0.048566587,-0.8177097,0.0,0.0,-0.3204006,1,0,0,0,0,0
1123844769,-0.06494583,-0.25979263,-1.934778,2.7840242e-37,0.5589113,-0.124869116,-0.04695547,-0.81842595,0.0,0.0,-0.34479547,1,0,0,0,0,0
1123944801,-0.07723553,-0.2945902,-1.934778,9.120509e-38,0.5562227,-0.14242665,-0.051772818,-0.81709886,0.0,0.0,-0.30949253,1,0,0,0,0,0
1124044942,-0.0676209,-0.25230688,-1.934778,2.9836405e-38,0.55911815,-0.1225708,-0.043742143,-0.81881,0.0,0.0,-0.35349938,1,0,0,0,0,0
1124145116,-0.059045587,-0.20643643,-1.934778,9.771467e-39,0.5616809,-0.10146395,-0.03426552,-0.8203935,0.0,0.0,-0.40389082,1,0,0,0,0,0
1124245131,-0.06395138,-0.20975524,-1.934778,3.197514e-39,0.5612892,-0.10419653,-0.03319367,-0.8203631,0.0,0.0,-0.39487574,1,0,0,0,0,0
1124365699,-0.055174813,-0.27472687,-1.934778,8.35889e-40,0.5587823,-0.12821282,-0.055173766,-0.81748366,0.0,0.0,-0.32120207,1,0,0,0,0,0
1124465682,-0.08633788,-0.3520819,-1.934778,2.73748e-40,0.5519375,-0.16818166,-0.06430155,-0.8142145,0.0,0.0,-0.26865295,1,0,0,0,0,0
1124565526,-0.071386926,-0.28034264,-1.934778,8.9459e-41,0.55742264,-0.13501859,-0.050133895,-0.8176409,0.0,0.0,-0.32197273,1,0,0,0,0,0
1124665670,-0.05844887,-0.2845126,-1.934778,2.9289e-41,0.5580683,-0.1331039,-0.056600068,-0.8170922,0.0,0.0,-0.37071958,1,0,0,0,0,0
1124765823,-0.054031223,-0.21667573,-1.934778,9.567e-42,0.5615137,-0.10423757,-0.039222155,-0.81993806,0.0,0.0,-0.3598494,1,0,0,0,0,0
1124865939,-0.068507895,-0.21734372,-1.934778,3.132e-42,0.56071466,-0.108571745,-0.033475526,-0.82017726,0.0,0.0,-0.37881905,1,0,0,0,0,0
1124965855,-0.046132706,-0.20033562,-1.934778,1.029e-42,0.56255764,-0.09534138,-0.037834156,-0.8203704,0.0,0.0,-0.40667653,1,0,0,0,0,0
1125066741,-0.06974669,-0.2422948,-1.934778,3.34e-43,0.5594803,-0.119089164,-0.040036827,-0.81926596,0.0,0.0,-0.37592041,1,0,0,0,0,0
1125166104,-0.0592722,-0.20531432,-1.934778,1.11e-43,0.5617158,-0.10106924,-0.033854604,-0.8204354,0.0,0.0,-0.41603163,1,0,0,0,0,0
1125266256,-0.06717538,-0.22186999,-1.934778,3.6e-44,0.560584,-0.11004464,-0.035304587,-0.81999356,0.0,0.0,-0.43186474,1,0,0,0,0,0
1125366314,-0.040872194,-0.21833204,-1.934778,1.3e-44,0.5621225,-0.10121755,-0.045084644,-0.81959784,0.0,0.0,-0.38663748,1,0,0,0,0,0
1125466286,-0.06538605,-0.2828064,-1.934778,4e-45,0.55769444,-0.134346,-0.05328334,-0.817367,0.0,0.0,-0.33378264,1,0,0,0,0,0
1125586961,-0.06897147,-0.29282624,-1.934778,3e-45,0.55690444,-0.13941164,-0.054650184,-0.8169671,0.0,0.0,-0.2866637,1,0,0,0,0,0
