timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
567166186,567166102,0.0040628053,-0.04193328,-0.008905536,0.35953167,0.0,0.0,0.0,-1.0
567218158,567218081,0.007714212,-0.049972665,-0.019465854,0.36275417,0.0,0.0,0.0,-1.0
567270143,567270068,0.002472545,-0.032197677,-0.014043969,0.36304075,0.0,0.0,0.0,-1.0
567322155,567322068,0.0040532327,-0.013610833,-0.0127955405,0.3654404,0.0,0.0,0.0,-1.0
567374199,567374081,0.007481304,-0.014997464,-0.0129116,0.36574075,0.0,0.0,0.0,-1.0
567426154,567426068,-0.0037733347,-0.05112428,-0.013242132,0.36247894,0.0,0.0,0.0,-1.0
567481360,567481283,0.00628884,-0.052137442,-0.004004895,0.3610362,0.0,0.0,0.0,-1.0
567533412,567533297,0.007564782,-0.024072511,-0.008492791,0.35968846,0.0,0.0,0.0,-1.0
567585347,567585273,0.019126749,-0.023887137,-0.010988286,0.36738318,0.0,0.0,0.0,-1.0
567637414,567637311,0.00017812368,-0.05622286,-0.011904013,0.36407512,0.0,0.0,0.0,-1.0
567689348,567689268,0.013459614,-0.04845486,-0.013082446,0.36182287,0.0,0.0,0.0,-1.0
567741409,567741292,0.0050399406,-0.016372718,-0.012896582,0.35395798,0.0,0.0,0.0,-1.0
567792570,567792497,0.013606193,-0.055190578,-0.0105686495,0.35914433,0.0,0.0,0.0,-1.0
567844542,567844468,0.008212692,-0.07604873,-0.012463121,0.34683743,0.0,0.0,0.0,-1.0
567896551,567896467,0.010831071,-0.0705267,-0.017804084,0.34243074,0.0,0.0,0.0,-1.0
567948600,567948474,0.010900921,-0.07512099,-0.014699312,0.34155118,0.0,0.0,0.0,-1.0
568000586,568000474,0.011341084,-0.06635338,-0.019592298,0.33710903,0.0,0.0,0.0,-1.0
568052545,568052468,-0.004178518,-0.060559705,-0.025732726,0.34294313,0.0,0.0,0.0,-1.0
568104552,568104468,-0.004190329,-0.07460544,-0.020801064,0.34223065,0.0,0.0,0.0,-1.0
568155776,568155702,0.009880307,-0.061203763,-0.019571405,0.34604236,0.0,0.0,0.0,-1.0
568207757,568207668,0.00770452,-0.044134777,-0.01918518,0.3474502,0.0,0.0,0.0,-1.0
568259742,568259668,0.003898238,-0.048684448,-0.015840808,0.3461039,0.0,0.0,0.0,-1.0
568311741,568311668,0.005240506,-0.055115875,-0.026565734,0.35243645,0.0,0.0,0.0,-1.0
568363790,568363668,-0.0049483296,-0.05801019,-0.026792757,0.35111368,0.0,0.0,0.0,-1.0
568415755,568415674,-0.0026008582,-0.039205484,-0.028543638,0.34618065,0.0,0.0,0.0,-1.0
568466964,568466883,0.00063730247,-0.04450641,-0.02471827,0.34458753,0.0,0.0,0.0,-1.0
568518945,568518871,0.004883457,-0.062007908,-0.019307215,0.35695654,0.0,0.0,0.0,-1.0
568566945,568566868,0.016209442,-0.0525011,-0.019455262,0.3631867,0.0,0.0,0.0,-1.0
568618975,568618874,0.008539672,-0.0518436,-0.017231429,0.36020142,0.0,0.0,0.0,-1.0
568670950,568670876,0.006227014,-0.046802144,-0.016606381,0.35685575,0.0,0.0,0.0,-1.0
568722942,568722868,0.015384118,-0.053568006,-0.01784517,0.3537972,0.0,0.0,0.0,-1.0
568774974,568774893,0.0007957804,-0.047118753,-0.021537675,0.3503979,0.0,0.0,0.0,-1.0
568830258,568830068,-0.0007613455,-0.043247323,-0.014357316,0.3545595,0.0,0.0,0.0,-1.0
568882190,568882107,0.012730748,-0.04722446,-0.013805433,0.36847937,0.0,0.0,0.0,-1.0
568934192,568934075,0.0012918172,-0.041615933,-0.01452566,0.36357412,0.0,0.0,0.0,-1.0
568986171,568986086,0.0021152182,-0.03982278,-0.014040628,0.36301413,0.0,0.0,0.0,-1.0
569038206,569038116,0.0054170475,-0.048485115,-0.015614319,0.3671615,0.0,0.0,0.0,-1.0
569090270,569090068,0.0010784415,-0.05291009,-0.014602175,0.35746583,0.0,0.0,0.0,-1.0
569141375,569141293,-0.0018382366,-0.032329842,-0.010447858,0.35584566,0.0,0.0,0.0,-1.0
569194145,569194068,0.013670428,-0.03884858,-0.011209538,0.35281053,0.0,0.0,0.0,-1.0
569245376,569245272,0.006620513,-0.04844788,-0.013305673,0.370053,0.0,0.0,0.0,-1.0
569297368,569297292,0.0062598763,-0.03095446,-0.015695,0.36177054,0.0,0.0,0.0,-1.0
569349355,569349280,0.00994503,-0.02570805,-0.011698561,0.3622377,0.0,0.0,0.0,-1.0
