timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch,armlock_switch
697377458,0.103182636,0.0,0.49325156,1.1854355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
697598076,0.086463906,0.0,0.49325156,-1.378631e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
697798158,0.09285904,0.0,0.49325156,1.2903058e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
697998401,0.101927616,0.0,0.49325156,1.5769983e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
698198725,0.10365472,0.0,0.49325156,-7.29663e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
698398823,0.044819217,0.0,0.49325156,2.9321634e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
698599043,0.077416584,0.0,0.49325156,-1.9930928e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
698799063,0.11708112,0.0,0.49325156,-2.8825887e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
698999286,0.13510543,0.0,0.49325156,9.6236523e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
699219304,0.1548763,0.0,0.49325156,1.2798017e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
699419621,0.13752127,0.0,0.49325156,-2.7114792e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
699619715,0.14498594,0.0,0.49325156,4.8404e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
699820019,0.019417606,0.0,0.49325156,1.1e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
700020120,1.0793921e-05,0.0,0.49325156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
700220351,6.0412444e-09,0.0,0.49325156,0.40202254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
