timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
544405632,4.4448357,1.5062525,nan,0.9547995,-4.48185e-34,0.0,0.0,-3.305515,nan,nan,nan,nan,nan,nan,nan,nan,nan
544605949,4.4448357,1.5062525,nan,0.9547995,-4.7934998e-35,0.0,0.0,-3.4794369,nan,nan,nan,nan,nan,nan,nan,nan,nan
544806264,4.4448357,1.5062525,nan,0.9547995,-5.1303025e-36,0.0,0.0,-3.479991,nan,nan,nan,nan,nan,nan,nan,nan,nan
545006405,4.4448357,1.5062525,nan,0.9547995,-5.490695e-37,0.0,0.0,-3.5840845,nan,nan,nan,nan,nan,nan,nan,nan,nan
545226597,nan,nan,nan,0.9547995,-4.7101503e-38,0.83590907,1.180858,-3.806204,nan,nan,nan,nan,nan,nan,nan,nan,nan
545426902,nan,nan,nan,0.9547995,-5.038119e-39,1.6750816,2.366326,-3.684575,nan,nan,nan,nan,nan,nan,nan,nan,nan
545627515,nan,nan,nan,0.9547995,-5.36772e-40,2.1716008,3.0677407,-3.6828082,nan,nan,nan,nan,nan,nan,nan,nan,nan
545827631,nan,nan,nan,0.9547995,-5.7505e-41,2.0146353,2.8460014,-3.7213984,nan,nan,nan,nan,nan,nan,nan,nan,nan
546027994,nan,nan,nan,0.9547995,-6.138e-42,1.2504052,1.7664014,-3.51264,nan,nan,nan,nan,nan,nan,nan,nan,nan
546227720,nan,nan,nan,0.9547995,-6.61e-43,1.305114,1.8436866,-3.3335888,nan,nan,nan,nan,nan,nan,nan,nan,nan
546427946,nan,nan,nan,0.9547995,-7.1e-44,1.4285579,2.0180712,-3.6552372,nan,nan,nan,nan,nan,nan,nan,nan,nan
546627984,nan,nan,nan,0.9547995,-8e-45,1.1534029,1.62937,-3.571539,nan,nan,nan,nan,nan,nan,nan,nan,nan
546828144,nan,nan,nan,0.9547995,-3e-45,1.0145727,1.4332496,-3.590458,nan,nan,nan,nan,nan,nan,nan,nan,nan
547048396,nan,nan,nan,0.9547995,-3e-45,0.6289583,0.88850623,-3.852002,nan,nan,nan,nan,nan,nan,nan,nan,nan
547248668,nan,nan,nan,0.9547995,-3e-45,0.52840567,0.74645925,-4.0634866,nan,nan,nan,nan,nan,nan,nan,nan,nan
547450414,nan,nan,nan,0.9547995,-3e-45,0.5987306,0.8458047,-3.8470452,nan,nan,nan,nan,nan,nan,nan,nan,nan
