timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
521947067,-18.29542,28.41,101544.945,1.206522
521971101,-18.543798,28.41,101547.945,1.2065576
521982673,-18.464529,28.41,101546.945,1.2065457
521995106,-18.464529,28.41,101546.945,1.2065457
522021041,-18.543798,28.41,101547.945,1.2065576
522033503,-18.210867,28.41,101543.94,1.20651
522046531,-18.464529,28.41,101546.945,1.2065457
522072513,-18.792177,28.41,101550.945,1.2065933
522086154,-18.87673,28.41,101551.945,1.2066051
522098012,-18.379974,28.41,101545.945,1.2065338
522122269,-18.79746,28.42,101550.97,1.2065935
522135748,-18.87673,28.42,101551.97,1.2066054
522149506,-18.628353,28.42,101548.97,1.2065698
522173982,-18.628353,28.41,101548.945,1.2065694
522186015,-18.792177,28.41,101550.945,1.2065933
522198303,-18.628353,28.41,101548.945,1.2065694
522226185,-18.79746,28.42,101550.97,1.2065935
522238136,-18.464529,28.42,101546.97,1.206546
522250140,-18.87673,28.42,101551.97,1.2066054
522273538,-18.961285,28.42,101552.97,1.2066172
522286822,-18.549084,28.42,101547.97,1.2065579
522300269,-18.79746,28.42,101550.97,1.2065935
522327856,-18.712908,28.42,101549.96,1.2065815
522341030,-18.87673,28.42,101551.97,1.2066054
522353495,-18.712908,28.42,101549.96,1.2065815
522381559,-18.464529,28.42,101546.97,1.206546
522393993,-18.79746,28.42,101550.97,1.2065935
522407918,-18.379974,28.42,101545.97,1.2065341
522434099,-18.792177,28.41,101550.945,1.2065933
522447819,-18.792177,28.41,101550.945,1.2065933
522461030,-18.210867,28.41,101543.94,1.20651
522487047,-18.87673,28.42,101551.97,1.2066054
522500537,-18.464529,28.42,101546.97,1.206546
522513211,-18.87673,28.42,101551.97,1.2066054
522540533,-18.549084,28.42,101547.97,1.2065579
522553118,-18.464529,28.42,101546.97,1.206546
522567777,-19.04584,28.42,101553.97,1.2066292
522593295,-19.294218,28.42,101556.97,1.2066648
522607074,-18.712908,28.42,101549.96,1.2065815
522620863,-18.628353,28.42,101548.97,1.2065698
522646930,-18.29542,28.42,101544.97,1.2065222
522660285,-18.29542,28.42,101544.97,1.2065222
522673057,-18.464529,28.42,101546.97,1.206546
522699487,-18.464529,28.42,101546.97,1.206546
522712558,-18.712908,28.42,101549.96,1.2065815
522727258,-18.379974,28.42,101545.97,1.2065341
522754396,-19.294218,28.42,101556.97,1.2066648
522767549,-18.21615,28.42,101543.96,1.2065102
522780595,-18.628353,28.42,101548.97,1.2065698
522805123,-18.379974,28.42,101545.97,1.2065341
522817132,-18.628353,28.42,101548.97,1.2065698
522829107,-18.628353,28.42,101548.97,1.2065698
522852818,-18.961285,28.42,101552.97,1.2066172
522864369,-18.464529,28.42,101546.97,1.206546
522876565,-18.464529,28.42,101546.97,1.206546
522900454,-18.549084,28.42,101547.97,1.2065579
522913114,-18.628353,28.42,101548.97,1.2065698
522924878,-18.79746,28.42,101550.97,1.2065935
522949103,-18.464529,28.43,101546.99,1.2065463
522960054,-18.882015,28.43,101551.99,1.2066057
522974147,-18.464529,28.43,101546.99,1.2065463
523001030,-18.38526,28.43,101545.99,1.2065344
