timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
579592267,inf,0,0,0,0,0
580593655,inf,0,0,0,0,0
581599471,inf,0,0,0,0,0
582609967,inf,0,0,0,0,0
583618269,inf,0,0,0,0,0
584620284,inf,0,0,0,0,0
585622519,inf,0,0,0,0,0
586630635,inf,0,0,0,0,0
587651181,inf,0,0,0,0,0
588657684,inf,0,0,0,0,0
589678783,inf,0,0,0,0,0
590693515,inf,0,0,0,0,0
591703016,inf,0,0,0,0,0
592706203,inf,0,0,0,0,0
593713711,inf,0,0,0,0,0
594733343,inf,0,0,0,0,0
595738113,inf,0,0,0,0,0
596752289,inf,0,0,0,0,0
597764708,inf,0,0,0,0,0
598776352,inf,0,0,0,0,0
599777355,inf,0,0,0,0,0
600778277,inf,0,0,0,0,0
601794447,inf,0,0,0,0,0
602798265,inf,0,0,0,0,0
603801664,inf,0,0,0,0,0
604817384,inf,0,0,0,0,0
605821421,inf,0,0,0,0,0
606842281,inf,0,0,0,0,0
607847262,inf,0,0,0,0,0
608853356,inf,0,0,0,0,0
609875533,inf,0,0,0,0,0
610879262,inf,0,0,0,0,0
611888326,inf,0,0,0,0,0
612900271,inf,0,0,0,0,0
613911033,inf,0,0,0,0,0
614929185,inf,0,0,0,0,0
615930637,inf,0,0,0,0,0
616949339,inf,0,0,0,0,0
617963305,inf,0,0,0,0,0
618972326,inf,0,0,0,0,0
619977648,inf,0,0,0,0,0
620979265,inf,0,0,0,0,0
621987793,inf,0,0,0,0,0
623000294,inf,0,0,0,0,0
624009322,inf,0,0,0,0,0
625026812,inf,0,0,0,0,0
626038274,inf,0,0,0,0,0
627043855,inf,0,0,0,0,0
628044282,inf,0,0,0,0,0
629060291,inf,0,0,0,0,0
630078243,inf,0,0,0,0,0
631098959,inf,0,0,0,0,0
632114305,inf,0,0,0,0,0
633116310,inf,0,0,0,0,0
634133327,inf,0,0,0,0,0
635150282,inf,0,0,0,0,0
636159329,inf,0,0,0,0,0
637168350,inf,0,0,0,0,0
638189396,inf,0,0,0,0,0
639205638,inf,0,0,0,0,0
640207275,inf,0,0,0,0,0
641212303,inf,0,0,0,0,0
642225374,inf,0,0,0,0,0
643227292,inf,0,0,0,0,0
644231451,inf,0,0,0,0,0
645246270,inf,0,0,0,0,0
646252298,inf,0,0,0,0,0
647254262,inf,0,0,0,0,0
648272292,inf,0,0,0,0,0
649280342,inf,0,0,0,0,0
650281078,inf,0,0,0,0,0
651287317,inf,0,0,0,0,0
652301418,inf,0,0,0,0,0
653311267,inf,0,0,0,0,0
654329318,inf,0,0,0,0,0
655339092,inf,0,0,0,0,0
656351263,inf,0,0,0,0,0
657360385,inf,0,0,0,0,0
658363263,inf,0,0,0,0,0
659385067,inf,0,0,0,0,0
660403463,inf,0,0,0,0,0
661406273,inf,0,0,0,0,0
662410267,inf,0,0,0,0,0
663430263,inf,0,0,0,0,0
664432237,inf,0,0,0,0,0
665447267,inf,0,0,0,0,0
666462299,inf,0,0,0,0,0
667465342,inf,0,0,0,0,0
668485532,inf,0,0,0,0,0
669495544,inf,0,0,0,0,0
670513927,inf,0,0,0,0,0
671521607,inf,0,0,0,0,0
672522262,inf,0,0,0,0,0
673536315,inf,0,0,0,0,0
674545318,inf,0,0,0,0,0
675557527,inf,0,0,0,0,0
676569126,inf,0,0,0,0,0
677586277,inf,0,0,0,0,0
678588306,inf,0,0,0,0,0
679609317,inf,0,0,0,0,0
680610274,inf,0,0,0,0,0
681619275,inf,0,0,0,0,0
682629690,inf,0,0,0,0,0
683650427,inf,0,0,0,0,0
684659296,inf,0,0,0,0,0
685680100,inf,0,0,0,0,0
686700283,inf,0,0,0,0,0
687713168,inf,0,0,0,0,0
688718293,inf,0,0,0,0,0
689718952,inf,0,0,0,0,0
690721364,inf,0,0,0,0,0
691729319,inf,0,0,0,0,0
692742933,inf,0,0,0,0,0
693745670,inf,0,0,0,0,0
694760268,inf,0,0,0,0,0
695768600,inf,0,0,0,0,0
696783267,inf,0,0,0,0,0
697783466,inf,0,0,0,0,0
698791262,inf,0,0,0,0,0
699803263,inf,0,0,0,0,0
700810302,inf,0,0,0,0,0
701813432,inf,0,0,0,0,0
702817355,inf,0,0,0,0,0
703822267,inf,0,0,0,0,0
704822280,inf,0,0,0,0,0
705840493,inf,0,0,0,0,0
706851267,inf,0,0,0,0,0
707859046,inf,0,0,0,0,0
708862267,inf,0,0,0,0,0
709880328,inf,0,0,0,0,0
710890019,inf,0,0,0,0,0
711901338,inf,0,0,0,0,0
712911482,inf,0,0,0,0,0
713913345,inf,0,0,0,0,0
714924293,inf,0,0,0,0,0
715929325,inf,0,0,0,0,0
716940555,inf,0,0,0,0,0
717955585,inf,0,0,0,0,0
718970241,inf,0,0,0,0,0
719970761,inf,0,0,0,0,0
720977291,inf,0,0,0,0,0
