timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1213838923,-0.041505862,0.068400666,0.03950899,0.9256507,0.0026410013,0.048160058,0.37529236,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1213870868,-0.022519395,0.13868864,-0.13142948,0.9255371,0.0025128718,0.049732823,0.37536854,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1213902868,0.19539002,0.13445331,0.06909062,0.9253516,0.0031030776,0.051393546,0.3755974,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1213934868,0.101739705,-0.025001006,-0.045569543,0.9253801,0.0026238007,0.05235144,0.37539864,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1213966902,-0.15375933,0.122599624,0.12015538,0.9251964,0.002695319,0.053579673,0.37567765,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1213998868,-0.04396707,-0.09610153,-0.07939089,0.92539686,0.0025235252,0.053271055,0.37522876,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214030920,-0.23233865,0.03349026,-0.029184047,0.9252885,0.0018786344,0.052813884,0.3755643,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214062869,0.19947009,0.0032500573,0.19023551,0.92547435,0.0017680032,0.051607784,0.3752745,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214094905,0.118767425,-0.2253125,-0.107906446,0.92569435,0.0011813155,0.050022244,0.37494874,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214126868,-0.36250883,-0.05639474,-0.04290646,0.9257266,0.0003690314,0.04848073,0.37507293,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214158881,-0.21139699,0.043255605,0.1547292,0.92580074,0.0006434603,0.04687698,0.37509346,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214190068,0.27812696,0.051110998,0.32839617,0.92589265,0.0014558624,0.044751707,0.37512392,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214222068,0.22629389,0.00017399422,-0.005283526,0.9261227,0.0018634622,0.042008452,0.37487158,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214254068,-0.046045538,-0.2972215,-0.057318863,0.92611414,0.0019297504,0.039139967,0.3752025,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214286074,-0.32390982,-0.22861777,0.1259585,0.92614084,0.0015196169,0.03634587,0.3754195,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214314073,0.0626305,0.069014326,0.04540342,0.9263635,0.0012632523,0.03462095,0.37503383,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214346112,0.077238224,-0.055246744,0.07568632,0.92648935,4.0664432e-05,0.03240913,0.3749231,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
