timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
545531605,0.18444999,-0.19256915,0.35294336
545545436,0.18396461,-0.18461609,0.35545334
545561131,0.1840512,-0.18848482,0.35277855
545574228,0.19476783,-0.18492037,0.3473018
545588266,0.19547886,-0.1892202,0.3503062
545600413,0.19516666,-0.1890047,0.34746665
545612302,0.19476783,-0.18492037,0.3473018
545625408,0.1966509,-0.18631321,0.34176207
545638277,0.1987596,-0.18405284,0.3417366
545651741,0.20095488,-0.1856612,0.3390364
545665496,0.20605643,-0.19317777,0.33664036
545680506,0.20525882,-0.18500917,0.33631074
545693222,0.21104707,-0.1816657,0.3278805
545708347,0.20853956,-0.17984176,0.32774115
545720291,0.21896833,-0.1912217,0.3284634
545732273,0.22349796,-0.18691644,0.3312521
545744223,0.2174597,-0.17875329,0.32512942
545755694,0.22498222,-0.184225,0.32554752
545769806,0.2271775,-0.18583336,0.32284728
545782278,0.22977158,-0.19152603,0.3203119
545796311,0.22224908,-0.18605429,0.3198938
545809434,0.24290913,-0.18591675,0.31764928
545822268,0.23547323,-0.18431379,0.31455642
545836287,0.24228467,-0.18548569,0.31197014
545848679,0.23806728,-0.19000648,0.31202102
545861230,0.2443934,-0.18322529,0.31194472
545873278,0.24408117,-0.18300973,0.30910516
545888240,0.24416773,-0.18687852,0.30643034
545899468,0.24456654,-0.19096282,0.30659518
545912228,0.24447995,-0.18709405,0.30926993
545925277,0.24909616,-0.18665756,0.30938384
545939367,0.25661862,-0.19212928,0.30980197
545951232,0.25419772,-0.19417417,0.30698782
545963733,0.24989375,-0.1948262,0.30971348
545976233,0.24729967,-0.1891335,0.31224886
545989414,0.24738625,-0.19300227,0.3095741
546003521,0.24527755,-0.19526267,0.30959955
546016234,0.23806728,-0.19000648,0.31202102
546030797,0.24097356,-0.1959147,0.3123252
546043539,0.2313424,-0.19270335,0.31193253
546056240,0.23236565,-0.19721875,0.3177765
546071222,0.23416212,-0.19474278,0.31491148
546084721,0.22774945,-0.19765522,0.31766257
546099582,0.22304668,-0.19422296,0.32022342
546112267,0.2262652,-0.20034668,0.32336715
546124233,0.2212502,-0.19669886,0.32308844
546139375,0.21905494,-0.19509047,0.32578865
546151230,0.21654743,-0.1932666,0.32564926
546164226,0.21608642,-0.20047341,0.3371978
546179308,0.20354895,-0.19135389,0.336501
546191222,0.20967376,-0.20338584,0.3399489
546203227,0.21209466,-0.20134099,0.34276307
546215254,0.19807293,-0.19491293,0.3477708
546227222,0.2145156,-0.1992961,0.34557718
546238225,0.19736195,-0.19061303,0.34476644
546250751,0.19516666,-0.1890047,0.34746665
546262321,0.19063702,-0.19330996,0.34467793
546275947,0.19094925,-0.19352548,0.34751755
546289614,0.18804294,-0.18761727,0.34721336
546303277,0.18271573,-0.18375391,0.34409505
546316246,0.17801297,-0.18032162,0.3466559
546329627,0.17912279,-0.18870577,0.34982508
546342237,0.18225472,-0.19096078,0.35564357
546354487,0.18225472,-0.19096078,0.35564357
546367225,0.17513102,-0.18957332,0.3553903
546378491,0.17723972,-0.18731295,0.35536486
546391225,0.17763853,-0.19139725,0.35552967
546402499,0.17755195,-0.18752849,0.35820445
546415222,0.17042826,-0.18614103,0.35795113
546428391,0.16831958,-0.18840143,0.3579766
546441232,0.16871837,-0.19248573,0.3581414
546455243,0.16871837,-0.19248573,0.3581414
546468412,0.16370337,-0.18883792,0.35786265
546481579,0.15697849,-0.1915348,0.35777417
546494225,0.1623057,-0.19539817,0.36089247
546505660,0.15447097,-0.1897109,0.3576348
546519222,0.1548698,-0.1937952,0.3577996
546530681,0.1547832,-0.18992646,0.36047438
546543222,0.15307331,-0.19627115,0.3606646
546555318,0.15979818,-0.19357428,0.36075312
546567229,0.1502536,-0.19423172,0.35768566
546579224,0.15307331,-0.19627115,0.3606646
546590278,0.14837053,-0.19283883,0.3632255
546602535,0.15338553,-0.19648667,0.36350423
546614291,0.14805831,-0.19262335,0.3603859
546628317,0.14634843,-0.19896804,0.36057612
546640234,0.1459496,-0.19488373,0.36041132
546653301,0.14384091,-0.19714409,0.36043677
546667240,0.13113028,-0.18028702,0.36508948
546680238,0.15127683,-0.19874707,0.36352962
546693304,0.14375433,-0.19327536,0.36311156
546705891,0.13945039,-0.19392738,0.3658372
546717401,0.14195788,-0.19575128,0.36597654
546730237,0.13483419,-0.19436385,0.36572328
546743222,0.13945039,-0.19392738,0.3658372
546759308,0.13984916,-0.19801167,0.36600202
546772339,0.13434881,-0.18641078,0.36823326
546786718,0.13873935,-0.18962753,0.3628328
546799222,0.13694286,-0.19210346,0.36569783
546811238,0.13334993,-0.19705531,0.37142786
546823278,0.12551522,-0.19136806,0.36817017
546839223,0.13545863,-0.19479492,0.37140244
546853328,0.12873374,-0.19749178,0.37131396
546866282,0.12451636,-0.2020126,0.37136483
546879222,0.11910256,-0.19428048,0.37092128
546892276,0.117306076,-0.19675641,0.37378627
546905662,0.12662505,-0.1997522,0.37133938
546919223,0.116508484,-0.18858777,0.3734567
546932231,0.118703745,-0.19019614,0.37075648
546943229,0.120812446,-0.18793574,0.37073106
546957343,0.11400099,-0.18676387,0.37331733
546970738,0.11368875,-0.18654835,0.37047777
546985701,0.1143132,-0.18697941,0.3761569
547000867,0.10758831,-0.18967631,0.3760684
547013320,0.10758831,-0.18967631,0.3760684
547025887,0.11049461,-0.19558454,0.3763726
547040859,0.105479605,-0.19193672,0.37609386
547053303,0.10046461,-0.18828888,0.37581512
547065744,0.10257331,-0.18602847,0.37578967
547079289,0.10046461,-0.18828888,0.37581512
547092645,0.1079871,-0.1937606,0.37623325
547105913,0.09405195,-0.19120128,0.3785662
547119222,0.096559465,-0.1930252,0.3787056
547132555,0.09544962,-0.18464102,0.37553638
547145301,0.100378044,-0.1844201,0.37848988
547158224,0.092942126,-0.18281715,0.37539703
547173242,0.09616066,-0.1889409,0.37854078
547186680,0.10108906,-0.18871996,0.38149425
547201001,0.10368315,-0.19441263,0.37895888
547213346,0.09405195,-0.19120128,0.3785662
547225337,0.09476297,-0.19550112,0.38157058
547236540,0.08934919,-0.18776901,0.38112706
547249870,0.087639295,-0.1941137,0.38131732
547262222,0.079717994,-0.18455766,0.3807344
547277297,0.09225548,-0.19367723,0.38143122
547290922,0.08051559,-0.1927263,0.38106403
547305001,0.07379071,-0.19542316,0.38097554
547317298,0.06658043,-0.190167,0.38339698
547331750,0.07168202,-0.19768356,0.38100097
547345716,0.06917452,-0.19585963,0.3808616
547360893,0.071595415,-0.19381478,0.38367572
547373304,0.064159535,-0.1922118,0.38058287
547387928,0.06156545,-0.18651916,0.38311827
547400256,0.07119662,-0.18973048,0.38351092
547411703,0.06908792,-0.1919909,0.38353637
547424260,0.07661042,-0.1974626,0.38395447
547435664,0.069486745,-0.19607519,0.38370118
547450787,0.06868913,-0.18790658,0.3833716
547465061,0.07410293,-0.19563872,0.3838151
547478268,0.06917452,-0.19585963,0.3808616
547491707,0.07199423,-0.19789912,0.38384056
547506538,0.069486745,-0.19607519,0.38370118
547518241,0.06658043,-0.190167,0.38339698
547533302,0.069486745,-0.19607519,0.38370118
547546253,0.06908792,-0.1919909,0.38353637
547560403,0.06689265,-0.19038251,0.3862366
547572364,0.06165203,-0.19038789,0.3804435
547585122,0.069486745,-0.19607519,0.38370118
547598222,0.06165203,-0.19038789,0.3804435
547611738,0.06156545,-0.18651916,0.38311827
547624241,0.06658043,-0.190167,0.38339698
547636224,0.071595415,-0.19381478,0.38367572
547648225,0.06438517,-0.1885586,0.38609722
547663245,0.06689265,-0.19038251,0.3862366
547679294,0.06447174,-0.19242737,0.38342243
547691747,0.0783203,-0.19111791,0.3837642
547704264,0.07190765,-0.19403033,0.38651532
547719279,0.07011118,-0.19650625,0.3893803
547732766,0.0784069,-0.19498664,0.38108945
547748809,0.08051559,-0.1927263,0.38106403
547761322,0.07370413,-0.19155438,0.3836503
547775226,0.06658043,-0.190167,0.38339698
547789843,0.07079781,-0.1856462,0.38334614
547803454,0.07621162,-0.1933783,0.38378966
547816231,0.0783203,-0.19111791,0.3837642
547831034,0.074501745,-0.199723,0.38397992
547843305,0.07150886,-0.18994604,0.3863505
547855232,0.07168202,-0.19768356,0.38100097
547869378,0.07410293,-0.19563872,0.3838151
547884846,0.073305316,-0.18747011,0.3834855
547899459,0.07863254,-0.19133347,0.3866038
547912224,0.07370413,-0.19155438,0.3836503
547924238,0.077695884,-0.19068684,0.37808508
547937290,0.072993085,-0.18725456,0.38064593
547951225,0.078719124,-0.19520225,0.38392904
547963537,0.0704856,-0.18543065,0.38050655
547976263,0.07800809,-0.1909024,0.38092464
547988225,0.08521838,-0.19615856,0.37850317
548002661,0.08302309,-0.19455017,0.38120338
548015222,0.08091441,-0.19681057,0.38122883
548028285,0.085131794,-0.19228977,0.38117793
548041636,0.087327085,-0.19389816,0.37847772
548055222,0.083335295,-0.19476573,0.38404295
548070693,0.08544401,-0.19250531,0.38401753
548083222,0.07931919,-0.18047337,0.3805696
548094225,0.0801168,-0.18864198,0.3808992
548106501,0.0872405,-0.19002937,0.38115248
548118230,0.09014678,-0.19593763,0.38145667
548130987,0.08974799,-0.1918533,0.38129184
548143222,0.08231207,-0.19025032,0.37819898
548154508,0.08803807,-0.19819804,0.38148212
548167250,0.08983456,-0.19572209,0.3786171
548179415,0.08442078,-0.18798994,0.37817356
548192222,0.08481958,-0.19207427,0.37833837
548207259,0.08442078,-0.18798994,0.37817356
548218810,0.0872405,-0.19002937,0.38115248
548231242,0.09405195,-0.19120128,0.3785662
548244030,0.09718389,-0.19345628,0.38438472
548257631,0.089435786,-0.19163775,0.3784523
548271282,0.09185668,-0.1895929,0.38126642
548282518,0.09225548,-0.19367723,0.38143122
548295223,0.0872405,-0.19002937,0.38115248
548307442,0.08803807,-0.19819804,0.38148212
548321623,0.087327085,-0.19389816,0.37847772
548334223,0.0872405,-0.19002937,0.38115248
548345606,0.08271088,-0.19433467,0.37836382
548359225,0.08020337,-0.19251074,0.37822443
548373669,0.08091441,-0.19681057,0.38122883
548386286,0.0872405,-0.19002937,0.38115248
548398228,0.08974799,-0.1918533,0.38129184
548410225,0.0872405,-0.19002937,0.38115248
548421377,0.08974799,-0.1918533,0.38129184
548433918,0.094364166,-0.19141683,0.3814058
548446234,0.08903697,-0.18755347,0.37828746
548458224,0.090459,-0.19615315,0.38429624
548470926,0.08692828,-0.18981385,0.37831292
548484222,0.084732994,-0.18820548,0.38101313
548496223,0.0801168,-0.18864198,0.3808992
548510165,0.0921689,-0.18980846,0.384106
548521638,0.0921689,-0.18980846,0.384106
548534227,0.08684169,-0.18594511,0.3809877
548547224,0.094277605,-0.18754804,0.38408056
548560240,0.09687167,-0.19324076,0.38154516
548573487,0.08934919,-0.18776901,0.38112706
548586491,0.087552704,-0.19024493,0.38399205
548599267,0.08544401,-0.19250531,0.38401753
548613350,0.0755006,-0.18907848,0.3807853
548626747,0.08042901,-0.18885753,0.3837388
548640267,0.0822255,-0.18638158,0.38087377
548654237,0.09014678,-0.19593763,0.38145667
548667245,0.08795151,-0.19432926,0.38415688
548681988,0.0872405,-0.19002937,0.38115248
548694222,0.08433419,-0.18412119,0.38084835
548708223,0.08934919,-0.18776901,0.38112706
548721226,0.09937917,-0.19506465,0.3816845
548733298,0.09889378,-0.1871116,0.3841945
548746406,0.09889378,-0.1871116,0.3841945
548759222,0.09638629,-0.18528765,0.3840551
548773215,0.09638629,-0.18528765,0.3840551
548785129,0.10561867,-0.1844147,0.38428298
548797231,0.103509985,-0.1866751,0.38430843
548809502,0.09989266,-0.17646702,0.38099983
548822230,0.10020488,-0.17668256,0.38383943
548836493,0.10419665,-0.17581497,0.3782742
548849346,0.09778398,-0.17872742,0.3810253
548862222,0.11243015,-0.18558656,0.3816967
548877227,0.11422663,-0.18311064,0.37883168
548889412,0.11311679,-0.1747265,0.37566248
548902231,0.10710294,-0.1817232,0.37857836
548916642,0.11132033,-0.17720243,0.3785275
548929183,0.10208795,-0.17807537,0.37829962
548941300,0.107501745,-0.18580751,0.37874317
548954229,0.11682071,-0.18880333,0.37629625
548967232,0.102486745,-0.18215968,0.37846446
548985300,0.11080684,-0.19580005,0.37921217
548997223,0.10539303,-0.18806791,0.37876862
549009497,0.11000924,-0.18763141,0.37888253
549022223,0.11140691,-0.18107119,0.37585273
549036335,0.12676412,-0.19223018,0.3795285
549052499,0.12314678,-0.18202211,0.37621996
549065301,0.12314678,-0.18202211,0.37621996
549078222,0.12135032,-0.18449804,0.37908497
549092343,0.120725885,-0.18406698,0.3734058
549104289,0.12565428,-0.18384606,0.37635928
549117337,0.12613966,-0.19179912,0.37384936
549132301,0.12283458,-0.18180658,0.37338036
549144286,0.124030955,-0.19405952,0.37387478
549156233,0.13146688,-0.19566244,0.37696767
549169384,0.13004482,-0.18706277,0.3709589
549182222,0.13035707,-0.18727832,0.37379846
549196267,0.12793612,-0.18932322,0.37098435
549211242,0.13967603,-0.19027416,0.37135154
549225711,0.13716851,-0.18845022,0.37121218
549238223,0.1414725,-0.18779817,0.36848652
549251874,0.14899498,-0.19326995,0.36890462
549265055,0.14187132,-0.19188249,0.36865133
549278222,0.14398,-0.18962209,0.36862588
549293323,0.13865277,-0.18575875,0.36550757
549307842,0.15119028,-0.19487834,0.3662044
