timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
558667997,558659566,1200.0,0.34361058,0.89850485,1.3178071,0.0,10,250,6,0,0,0,0,1,1,1,36
558700704,558700245,1200.0,0.34361058,0.89850485,1.3178071,0.0,42,190,6,0,0,0,0,1,1,1,36
558868850,558868582,1200.0,0.34361058,0.89850485,1.3178071,0.0,218,0,6,4,0,0,0,1,1,1,36
559413060,0,5000.0,1.0,0.0,2.6053088,0.0,0,0,0,0,0,1,0,0,1,0,15
559657551,559652600,1200.0,0.34361058,0.93460834,1.6408012,0.0,10,250,6,0,0,0,0,1,1,1,36
559717593,559711249,1200.0,0.34361058,0.93460834,1.6408012,0.0,42,190,6,0,0,0,0,1,1,1,36
559917441,559913400,1200.0,0.34361058,0.93460834,1.6408012,0.0,218,0,6,4,0,0,0,1,1,1,36
560415171,0,5000.0,1.0,0.0,2.5571315,0.0,0,0,0,0,0,1,0,0,1,0,15
560656477,560654130,1200.0,0.34361058,0.88464975,1.2343489,0.0,10,250,6,0,0,0,0,1,1,1,36
560719010,560715445,1200.0,0.34361058,0.88464975,1.2343489,0.0,42,190,6,0,0,0,0,1,1,1,36
560995221,560994962,1200.0,0.34361058,0.88464975,1.2343489,0.0,218,0,6,4,0,0,0,1,1,1,36
561417485,0,5000.0,1.0,0.0,2.5607607,0.0,0,0,0,0,0,1,0,0,1,0,15
561652100,561645487,1200.0,0.34361058,0.84150374,1.5272844,0.0,10,250,6,0,0,0,0,1,1,1,36
561736882,561730307,1200.0,0.34361058,0.84150374,1.5272844,0.0,42,190,6,0,0,0,0,1,1,1,36
562027520,562021417,1200.0,0.34361058,0.84150374,1.5272844,0.0,218,0,6,4,0,0,0,1,1,1,36
562419441,0,5000.0,1.0,0.0,2.5605662,0.0,0,0,0,0,0,1,0,0,1,0,15
562658788,562650295,1200.0,0.34361058,0.89631426,1.4398984,0.0,10,250,6,0,0,0,0,1,1,1,36
562730481,562724400,1200.0,0.34361058,0.89631426,1.4398984,0.0,42,190,6,0,0,0,0,1,1,1,36
563075424,563066641,1200.0,0.34361058,0.7703937,1.3082722,0.0,218,0,6,4,0,0,0,1,1,1,36
563420044,0,5000.0,1.0,0.0,2.5619009,0.0,0,0,0,0,0,1,0,0,1,0,15
563657382,563653332,1200.0,0.34361058,0.7703937,1.3082722,0.0,10,250,6,0,0,0,0,1,1,1,36
563749387,563741241,1200.0,0.34361058,0.7703937,1.3082722,0.0,42,190,6,0,0,0,0,1,1,1,36
564116733,564107933,1200.0,0.34361058,0.8702863,1.4628004,0.0,218,0,6,4,0,0,0,1,1,1,36
564422462,0,5000.0,1.0,0.0,2.5814755,0.0,0,0,0,0,0,1,0,0,1,0,15
564659434,564651269,1200.0,0.34361058,0.8702863,1.4628004,0.0,10,250,6,0,0,0,0,1,1,1,36
564740849,564731266,1200.0,0.34361058,0.8702863,1.4628004,0.0,42,190,6,0,0,0,0,1,1,1,36
565216521,565216208,1200.0,0.34361058,0.92083234,1.4677328,0.0,218,0,6,4,0,0,0,1,1,1,36
565423309,0,5000.0,1.0,0.0,2.5588284,0.0,0,0,0,0,0,1,0,0,1,0,15
565649588,565644301,1200.0,0.34361058,0.92083234,1.4677328,0.0,10,250,6,0,0,0,0,1,1,1,36
565734492,565731314,1200.0,0.34361058,0.92083234,1.4677328,0.0,42,190,6,0,0,0,0,1,1,1,36
566255443,566250684,1200.0,0.34361058,0.92919916,1.275528,0.0,218,0,6,4,0,0,0,1,1,1,36
566425357,0,5000.0,1.0,0.0,2.5826893,0.0,0,0,0,0,0,1,0,0,1,0,15
566651586,566651281,1200.0,0.34361058,0.92919916,1.275528,0.0,10,250,6,0,0,0,0,1,1,1,36
566756049,566750251,1200.0,0.34361058,0.92919916,1.275528,0.0,42,190,6,0,0,0,0,1,1,1,36
567284302,567276268,1200.0,0.34361058,0.82529104,1.4287726,0.0,218,0,6,4,0,0,0,1,1,1,36
567431934,0,5000.0,1.0,0.0,2.5411448,0.0,0,0,0,0,0,1,0,0,1,0,15
567656375,567648363,1200.0,0.34361058,0.82529104,1.4287726,0.0,10,250,6,0,0,0,0,1,1,1,36
567755155,567748506,1200.0,0.34361058,0.82529104,1.4287726,0.0,42,190,6,0,0,0,0,1,1,1,36
568321676,568314735,1200.0,0.34361058,0.93307585,1.2908046,0.0,218,0,6,4,0,0,0,1,1,1,36
